site_id,closest_gage,gage_riv_dist_m
504ACGAxx,11379000,5893.774345323065
504ADVSBL,11383800,6447.802713028039
504BCAWAB,11383730,19096.568543679474
504BCCBPx,11384000,2063.045701060607
504BCCBWS,11384000,11089.008439836998
504BCCFMR,11384000,3812.767320272709
504BCCGCB,11384000,2466.6906871599995
504BCCOMR,11384000,9034.641691376002
504BCHBID,11383800,16688.327632545086
504BCHNOR,11384000,11214.179359479873
504BCHRIV,11383800,10333.26212906632
504BUT001,11383800,8934.919918796591
504CBBLBW,11384000,7386.620893604659
504CE0210,11384000,5814.222478609889
504CE0514,11383500,2700.1293374350134
504CE0657,11379000,5987.136246430702
504CGSAxx,11379000,5664.64196317954
504CR1014,11383730,4820.224629536957
504DCFRxx,11381500,9876.393466224865
504DCFSxx,11383500,776.2032348477151
504DDSAxx,11381500,8804.2741317705
504DRC113,11383500,0
504DRCALR,11383500,4156.021977623872
504DRCH99,11383730,6919.076485487447
504DYCBSB,11381500,8712.97468418095
504ELD99W,11380500,71.01705509309068
504FC1115,11383500,4993.585329108619
504GLE001,11388500,6094.832834683621
504LCCSRx,11389740,107196.82927132925
504MCSAxx,11381500,6751.92211150598
504MDC001,11383800,10845.510757496015
504MDC002,11383800,12055.758411004765
504MDC003,11383800,12207.711425285012
504MDC004,11383800,13146.111050172367
504MILH99,11381500,7332.561523572979
504MLCH99,11381500,7214.974185396638
504NWCH99,11379000,6789.914483643588
504PBB125,11388000,7000.720277007229
504PFLINL,11218500,3851.390926021499
504PFLIPK,11220500,17551.250287300954
504PFLTRM,11220500,2948.4026505422426
504PS0051,11381500,8485.977105634374
504PS0227,11383500,4294.371054262707
504PS0238,11383730,4748.3775503963925
504PS0243,11379000,9242.591865465663
504PS0295,11384000,6648.516611537665
504PS0307,11381500,8464.81490884937
504PS0371,11383730,8006.242770709505
504PS0595,11388500,8382.92842677375
504PS0723,11380500,10471.630006841777
504PS0727,11384000,1489.7928243860956
504PS0739,11381500,5736.026609609034
504PS0803,11380500,14874.972907818701
504PS0995,11381500,9557.702129782225
504PS1027,11388000,10214.656887391862
504PS1038,11381500,10529.316390945907
504R5NPHG,11379000,16169.847092080014
504RESHMC,11383800,0
504SACHMN,11383800,0
504SACRBF,11379000,14008.85100840282
504SACREF,11383500,0
504SCORxx,11388000,9542.29377574942
504SRHAMx,11383800,2055.304155699995
504ST0127,11383800,9731.998321118124
504ST0130,11384000,8236.875788040608
504ST0148,11388000,3531.277110342422
504ST0305,11383500,19187.627403314385
504ST0326,11383500,0
504ST0367,11383500,0
504ST0369,11383730,6325.600419621665
504ST0370,11383500,0
504ST0914,11381500,7359.533222811501
504ST1302,11383800,89.63801801723537
504ST1318,11383800,4346.495694154157
504ST1720,11388000,70.00161567972742
504ST1721,11388000,70.00161567972742
504TCVAxx,11383730,9445.040803575805
504TEH201,11382000,70.29293854590733
504TEH902,11380500,13231.528270755483
504TEH903,11380500,1613.6748810410363
504TEH905,11383730,6325.600419621665
504TEH906,11380500,12634.42176658344
504TMCTVR,11383730,9558.3484440962
504TMDWDB,11383730,0
504WE0527,11381500,10635.683478840034
504XPNC32,11383800,5855.78319604838
504XPNCGR,11383800,9600.018816312546
504XSED27,11388500,5565.503156778409
504XSED29,11383800,11964.64774189137
504XSED30,11383800,16127.53885639154
504XSRNHC,11383800,226.17779185246678
504XSTYCP,11388500,9548.575091107314
504XSTYHY,11388500,4558.320384866485
504XXCS03,11388500,4558.320384866485
504XXCS32,11383800,13381.012594591253
504XXNS04,11379000,12065.425312205443
504XXNS07,11383730,5964.050954800834
505BMCMCR,11367800,5545.203261192442
505CE0137,11367500,67074.1267504693
505LBCAMR,11367800,3074.258806245442
505MRLFFC,11367500,10529.876843742726
505MRTNCx,11367800,2967.0663731699497
505NC0222,11363930,108891.41101443168
505PS0110,11367800,24877.590452899367
505PS0174,11363930,100421.36859274773
505PS0366,11367800,28129.730907513218
505PS0940,11367500,14114.439307819026
505SQCASC,11363930,100141.70694248834
505SQUAW1,11363930,99099.9948861163
505ST0883,11368000,0
505ST0884,11367800,2967.0663731699497
505ST0885,11367800,2967.0663731699497
505WE1100,11367800,24242.471981944484
506ADVSHL,11342000,11641.174691766439
506ADVSSA,11342000,13811.048811425873
506P00012,11365000,1879.2055511387275
506PS0003,11342000,11230.532787204722
506PS0062,11342000,21546.3784108773
506SCRFFA,11342000,0
506SHA950,11363000,122.94485086652139
506SHA951,11342000,0
506SHA953,11368000,1516.263113071537
506ST0886,11368000,3232.8609706564694
506ST1162,11365000,2824.902352701022
506ST1166,11365000,2902.8458483172844
507ADVDAS,11376160,2342.3220420505636
507BCMRxx,11376460,1262.8414155480539
507BCNF44,11376025,2181.9328824808513
507BCNFWH,11376140,595.8925158662099
507BTC081,11376025,8800.747035909922
507BWCWHR,11376160,18335.122712716253
507CE0581,11376140,2678.438898623026
507DCABSF,11376050,33407.30675345901
507DCBLLB,11376140,20678.631202743498
507PMC074,11376025,347.15767865682926
507PNB130,11376025,12663.922232866074
507PS0122,11376460,3578.0151132390215
507PS0149,11376025,35254.3868183917
507PS0314,11376160,3144.82795592574
507RCABRS,11376140,10137.013706121035
507RCBLPF,11376140,2548.2589836933307
507SHA002,11376040,1479.925851256709
507SHA003,11376150,8963.074766056327
507SHA005,11376025,1208.6807586272803
507SHA006,11376420,5269.66783273795
507SHA007,11376150,4992.555913733488
507SHA009,11376025,3112.4224840273437
507SHA011,11376150,2533.158675174843
507SHA015,11376140,8002.581160001172
507SHA018,11376140,5079.05381444846
507SHA019,11376440,2136.7794623105387
507SHA020,11376460,2375.713771386892
507SHA023,11376140,10191.667511199148
507SHA025,11376025,7129.8819801334075
507SHA034,11376140,3167.137016476498
507SHA037,11376025,32022.61680424677
507SHA053,11376440,4203.802578671379
507SHA120,11376140,1007.9740465491035
507SHA201,11376140,2744.4263689660743
507SPILBL,11376140,8493.063994573624
507SPIMBL,11376025,9349.217240038479
507SPION1,11376050,19679.541333332578
507SPIUBL,11376025,10801.72914819878
507WS1061,11376040,672.5909891008187
5084sxxxx,11376000,10923.45248260344
508BATJFR,11376550,3093.9394858775804
508BCFSxx,11376550,2607.0626176145392
508BCGRxx,11376550,2881.511342719382
508CCBSDx,11372000,8025.833996342249
508CCMPRx,11374000,14149.753125976826
508CCRAxx,11372000,12498.055037970415
508CCRBxx,11372000,3911.6479722632234
508CCSH44,11374000,8282.039419886736
508CLCO44,11374000,12657.033389136599
508LCCORx,11374000,8420.44088748271
508LLC403,11374000,9900.825095333323
508NCCSCR,11374000,8358.90838150177
508ORCO44,11374000,11544.827568006938
508PS001,11376000,8459.364526244586
508PS0042,11374000,14149.753125976826
508PS0106,11374000,6060.938051585744
508PS0298,11374000,4377.317372198481
508PS0410,11374000,10807.70652409867
508PS0458,11372000,9122.872366695863
508PS0459,11333000,51682.969447511015
508PS0554,11374000,148.78360837823493
508PS0714,11372000,338.90463253640644
508PS0970,11372000,3670.6967727422966
508SCCO44,11374000,14149.753125976826
508SHA004,11376160,10538.783583795683
508SHA201,11375700,0
